Hour,Pb,Ps,Pc,Pd,SOC,Benefit,npv
65,7.952366098013383e-10,0.0,0.0,272.8717364739472,2726.9785976846692,106698.38453730528,1093373.0752224086
66,0.0,1.0805962274218624e-08,0.0,454.1000029938059,2258.834264701364,106698.38453730528,1093373.0752224086
67,0.0,1.5428698333619955e-08,0.0,156.10000102842866,2097.906428589582,106698.38453730528,1093373.0752224086
68,0.0,304.1581298387041,0.0,462.3381293657041,1621.2691818208152,106698.38453730528,1093373.0752224086
69,0.0,599.9999999845735,0.0,720.8500026865735,878.1248491542447,106698.38453730528,1093373.0752224086
70,0.0,599.9999999847589,0.0,623.6900024307589,235.14546520500835,106698.38453730528,1093373.0752224086
71,0.0,1.5466125018992296e-08,0.0,18.999997944466116,215.5578384581363,106698.38453730528,1093373.0752224086
72,0.0,9.114108264309212e-09,0.0,18.470001735114103,196.51659955595733,106698.38453730528,1093373.0752224086
73,0.0,1.1567665407090762e-08,0.0,18.49999992556766,177.44443468423788,106698.38453730528,1093373.0752224086
74,0.0,9.177367429518851e-09,0.0,18.539997507177368,158.33103519230235,106698.38453730528,1093373.0752224086
75,18.53999751291491,0.0,1.4914910486833685e-08,0.0,158.3310352061735,106698.38453730528,1093373.0752224086
76,18.580000947497712,0.0,2.2249771338814486e-07,0.0,158.3310354130963,106698.38453730528,1093373.0752224086
77,542.7876802777413,0.0,524.2876803637413,0.0,645.9185781513752,106698.38453730528,1093373.0752224086
78,542.7876802249223,0.0,524.3176784989223,0.0,1133.5340191553732,106698.38453730528,1093373.0752224086
79,0.0,2.040581244950695e-08,106.84227816907281,0.0,1232.8973378526107,106698.38453730528,1093373.0752224086
80,0.0,380.6197309682324,4.9064839051044026e-08,0.0,1232.897337898241,106698.38453730528,1093373.0752224086
81,0.0,219.21645608893334,0.0,1.845763060397814e-08,1232.8973378792125,106698.38453730528,1093373.0752224086
82,0.0,393.29503392389836,0.0,2.324493368864765e-08,1232.897337855249,106698.38453730528,1093373.0752224086
83,0.0,599.9999999558519,15.565668611338488,0.0,1247.3734096637943,106698.38453730528,1093373.0752224086
84,0.0,5.6650909319178144e-08,619.2191798458607,0.0,1823.2472469204438,106698.38453730528,1093373.0752224086
85,0.0,258.04217589860156,756.8642167785314,0.0,2527.130968524478,106698.38453730528,1093373.0752224086
86,0.0,1.8315847196951933e-08,474.4495757698385,0.0,2968.3690739904278,106698.38453730528,1093373.0752224086
87,0.0,180.90325792526167,42.925367580132885,0.0,3008.289665839951,106698.38453730528,1093373.0752224086
88,0.0,3.450861391886151e-08,0.0,40.76583503789129,2966.2630317802696,106698.38453730528,1093373.0752224086
89,0.0,4.5812570885382275e-08,0.0,295.3948335254728,2661.7322755684418,106698.38453730528,1093373.0752224086
