Day,Pb_Sum,Ppv_Sum,Pd_Sum,Ppvmax_Sum,Ps_Sum,Pc_Sum,SOC_Avg,Benefit,npv
48,0.0,2348.691247608,1746.8100018629996,2348.691247608,1820.7873726192583,1935.4838709677417,719.6736460936864,-35076.69159876786,274025.26392705855
49,0.0,2292.920862255,193.39000589699995,2292.920862255,212.4369857082581,1935.4838709677422,916.1136369883772,-35076.69159876786,274025.26392705855
50,286.0804992514337,2375.017081275,2212.631166277,2375.017081275,0.0,598.238740147434,1550.5825959863787,-35076.69159876786,274025.26392705855
51,4019.3223133869974,2397.949277176,2581.4581712409995,2397.949277176,283.509995849,2861.6097674769976,1194.1801472141858,-35076.69159876786,274025.26392705855
52,3365.104742117177,2307.1243005690003,1998.1563864165641,2307.1243005690003,0.0,2215.005416712742,1215.2259847907555,-35076.69159876786,274025.26392705855
53,4109.790272632121,2465.8148056269997,2132.939996487,2465.8148056269997,0.0,2547.345077948121,619.8016391981959,-35076.69159876786,274025.26392705855
54,3110.2289084022327,1999.3653769019998,2140.2879572909997,1999.3653769019998,0.0,2612.3922397572333,828.280900166366,-35076.69159876786,274025.26392705855
55,2243.1854263591676,2430.4182150453,2210.0331262366994,2430.4182150453,0.0,2027.1167783091673,1384.108155291923,-35076.69159876786,274025.26392705855
56,361.01513190957235,2094.120946902,102.227823078,2094.120946902,0.0,1937.1438936575728,893.8904981625051,-35076.69159876786,274025.26392705855
57,0.0,2549.014885216,1417.311855474527,2549.014885216,152.1049321085273,880.291788253,1517.9944615965849,-35076.69159876786,274025.26392705855
58,950.7412976415961,2175.994057608,1492.5250210689996,2175.994057608,0.0,1388.2103685835962,1472.623942098943,-35076.69159876786,274025.26392705855
59,1571.2457049434702,2297.6705146470003,2089.984090279616,2297.6705146470003,189.970000348,1450.1003078930862,1041.3075511285444,-35076.69159876786,274025.26392705855
60,449.1832259128122,2029.611920432,282.4490976789999,2029.611920432,0.0,1086.8042181388123,457.2934265452596,-35076.69159876786,274025.26392705855
61,611.6418792269999,2092.969171981,1119.2344518109999,2092.969171981,449.32000289300004,677.4255028420001,896.5855365270768,-35076.69159876786,274025.26392705855
62,512.970004642,1855.1331601370002,1012.3504136579999,1855.1331601370002,774.520004096,1049.2735729390001,610.9569498399215,-35076.69159876786,274025.26392705855
63,0.0,2062.226101412,170.91378730699995,2062.226101412,0.0,1913.10987997,928.5579849095626,-35076.69159876786,274025.26392705855
64,1504.32323035015,2076.454396491,2938.0549822379994,2076.454396491,1391.564712123,1425.6678753641502,1316.2833198884434,-35076.69159876786,274025.26392705855
65,2982.20361048289,2105.492261686,2223.509139588,2105.492261686,1133.767445052,2434.91756761889,532.4105996892793,-35076.69159876786,274025.26392705855
66,1697.830004932,2441.4885591570005,1798.3645001604025,2441.4885591570005,446.4218424344026,1993.5312051440003,793.2504580774558,-35076.69159876786,274025.26392705855
67,1124.9085818809367,2353.4927102949996,1102.158588245145,2353.4927102949996,0.0,1221.7698572720817,376.46435731020057,-35076.69159876786,274025.26392705855
68,575.509149574,2560.5176691569995,746.9991722846514,2560.5176691569995,652.9516029366514,965.8043805960001,390.8613322571977,-35076.69159876786,274025.26392705855
69,0.0,2677.7040668177415,909.8789702871056,2695.1763107059996,710.6891571471057,1935.483870967742,817.1864163670602,-35076.69159876786,274025.26392705855
70,0.0,2675.142118862,2226.604924369,2675.142118862,1583.3883648110002,1488.5486638599998,1045.9907121486633,-35076.69159876786,274025.26392705855
71,3024.8102182583743,2729.1803498630006,3033.4760035579993,2729.1803498630006,2100.369132372,3297.8574326493745,947.1006798729445,-35076.69159876786,274025.26392705855
72,2721.741008661,2900.713486491,2943.933919939456,2900.713486491,1845.1607526744563,3243.3476544080004,848.2615568644284,-35076.69159876786,274025.26392705855
73,2596.8759459527046,2584.0985261960004,2713.5900509780004,2584.0985261960004,2107.733313727,3008.081200507705,761.9717925027784,-35076.69159876786,274025.26392705855
74,3225.2971599337425,2767.4321230980004,2411.9499915779993,2767.4321230980004,1281.1953927750005,2735.483870967742,782.8297124072595,-35076.69159876786,274025.26392705855
75,2510.3625870377414,2644.2568000000006,1772.1400068269995,2644.2568000000006,770.2355060439997,1935.483870967742,575.0543024907216,-35076.69159876786,274025.26392705855
76,1451.1706885267708,2411.5025590199994,1116.6481367889996,2411.5025590199994,836.8402835889996,2132.921108526771,706.4259100548794,-35076.69159876786,274025.26392705855
77,49.339993725,2523.767456765,2061.88999751,2523.767456765,2392.7635844062584,1935.4838709677417,980.7126315547671,-35076.69159876786,274025.26392705855
78,1987.5034973210009,2300.4667001370003,2589.901330977999,2300.4667001370003,1352.1008827530002,2378.610632763,771.51522727172,-35076.69159876786,274025.26392705855
79,1909.03694899537,2392.924109863,2131.890794785502,2392.924109863,1303.938625163502,2277.89322098437,572.7483866316636,-35076.69159876786,274025.26392705855
80,1668.18291030916,2349.707660274,1817.4159496969999,2349.707660274,240.0363057260002,2014.65020474116,548.1819498234433,-35076.69159876786,274025.26392705855
81,2953.4072404773833,2444.471616196,2577.528531840439,2444.471616196,1524.1837180209998,2857.2536657138226,687.113830386661,-35076.69159876786,274025.26392705855
82,2773.043084322847,2079.028971275,873.185396551,2079.028971275,0.0,967.9474521128478,346.24202599215454,-35076.69159876786,274025.26392705855
83,898.0789898033844,2285.518770843,561.7159867629994,2285.518770843,400.6839298769994,2037.2198113113845,1130.5043343798416,-35076.69159876786,274025.26392705855
84,0.0,2401.8843616860004,2119.2552960310004,2401.8843616860004,1896.4189222639998,1378.3807311259998,911.1891130890921,-35076.69159876786,274025.26392705855
85,51.55000131599999,2541.398970432,1032.3038347149998,2541.398970432,0.0,736.88279938,452.13029785227667,-35076.69159876786,274025.26392705855
86,346.5692161577556,2373.9299914119997,755.3556140049999,2373.9299914119997,0.0,1090.9448212777556,393.57715452249886,-35076.69159876786,274025.26392705855
87,109.29000119399998,2768.831863667,510.57133273000005,2768.831863667,0.0,1020.64319469,661.7385982911595,-35076.69159876786,274025.26392705855
88,373.2657029504478,2627.4239836670004,920.2301528255521,2627.4239836670004,0.0,735.8798347030001,775.1235034262808,-35076.69159876786,274025.26392705855
89,5.66934918299998,2281.0952447840004,721.6976716661711,2281.0952447840004,90.57505811817109,443.54719151000006,354.63050918793715,-35076.69159876786,274025.26392705855
90,0.0,2489.8888969020004,1705.530002578,2489.8888969020004,1970.645013971258,1935.483870967742,642.4191343330652,-35076.69159876786,274025.26392705855
91,0.0,2747.0304784509995,191.42926057399953,2747.0304784509995,713.1558573132577,1935.4838709677417,892.3932364666075,-35076.69159876786,274025.26392705855
92,690.7229112623663,2563.6675323583,2379.585978625,2563.6675323583,1363.7045118372998,1238.7519157953666,1344.1859489778974,-35076.69159876786,274025.26392705855
93,3341.1784100888717,2406.0377623920003,2546.8480203309996,2406.0377623920003,1541.0482241579996,2683.1459684358724,816.0472109967353,-35076.69159876786,274025.26392705855
94,162.28880558199998,2699.677100137,741.462938181,2699.677100137,382.079998912,890.0988370660002,486.67200087235796,-35076.69159876786,274025.26392705855
95,659.5855971039998,2663.872026902,197.94952033799999,2663.872026902,0.0,780.3171349170001,771.6756638503065,-35076.69159876786,274025.26392705855
96,1192.9207336159998,2545.2154616860003,754.076908035,2545.2154616860003,0.0,325.46309159400005,1009.7650773597992,-35076.69159876786,274025.26392705855
97,945.6670730160679,2474.169821823,1225.62999813,2474.169821823,1161.626594107,933.810300632068,672.7916062421533,-35076.69159876786,274025.26392705855
98,660.877646002,2680.9665832350006,39.914234463999996,2680.9665832350006,0.0,1314.108453242,592.4599774131716,-35076.69159876786,274025.26392705855
99,934.7503390296181,2359.570826902,1201.4700025089999,2359.570826902,0.0,597.7411677716182,1351.0750792807291,-35076.69159876786,274025.26392705855
100,2002.61869361,2295.7386082929997,1090.9707149689998,2295.7386082929997,634.279998806,1890.5780063880002,868.7434807779526,-35076.69159876786,274025.26392705855
101,671.1036089832953,2547.12281,1308.574901756,2547.12281,514.3828218440001,780.0084830162955,1328.750172023091,-35076.69159876786,274025.26392705855
102,2118.0559080129287,2625.296522824,2454.761754831,2625.296522824,2013.2103284229995,2277.8738542689284,869.1992592013552,-35076.69159876786,274025.26392705855
103,350.8136181334895,2755.7619330979996,1020.9189938680001,2755.7619330979996,526.38165566,1083.4928861234896,394.23727890023264,-35076.69159876786,274025.26392705855
104,72.57263408799997,2488.2708395680006,903.686810379,2488.2708395680006,772.2199962980001,1391.1202669800002,565.5020616997025,-35076.69159876786,274025.26392705855
105,0.0,2422.3779541757417,611.1010494159142,2617.2266052160003,778.4251355919141,1935.483870967742,1002.0658766339214,-35076.69159876786,274025.26392705855
106,108.55022903799994,2707.3690828239996,725.1894889739999,2707.3690828239996,0.0,630.158791979,1647.9745492460042,-35076.69159876786,274025.26392705855
107,1127.3360230639041,2631.057797471,865.9832496429998,2631.057797471,0.0,500.1070545649042,1536.1353426817504,-35076.69159876786,274025.26392705855
108,1355.4022360542021,2552.6954167649997,859.4671184059999,2552.6954167649997,384.409999255,1308.6147630562025,1220.6588790809387,-35076.69159876786,274025.26392705855
109,1485.6881983407357,2228.256107882,2914.91675471,2228.256107882,2056.8708825979998,1807.200167065736,1053.996024338402,-35076.69159876786,274025.26392705855
110,876.3438334800403,2616.880413098,570.8711345549996,2616.880413098,0.0,704.0553826970402,286.24030487401484,-35076.69159876786,274025.26392705855
111,194.60171621199999,2378.7338490199995,433.05001896160957,2378.7338490199995,282.6339041256096,911.0916736030001,407.9268965530354,-35076.69159876786,274025.26392705855
112,0.0,2576.151692392,179.71077515,2576.151692392,0.0,1540.2324535920002,1129.793336268055,-35076.69159876786,274025.26392705855
113,77.76689632899999,2548.661206196,1482.2741180575217,2548.661206196,747.236766434522,611.4154385340003,1583.5051314150223,-35076.69159876786,274025.26392705855
114,1439.1811082917422,2810.455710137,1623.2824454069992,2810.455710137,1050.9053875089996,1935.483870967742,952.8226611756686,-35076.69159876786,274025.26392705855
115,2043.854041055742,2653.565939863,1617.3464526369999,2653.565939863,913.692545853,1935.483870967742,947.6586683643214,-35076.69159876786,274025.26392705855
116,2146.8837851257417,2451.326270432,2660.333548911999,2451.326270432,1200.8697276889993,1935.483870967742,819.3544641799944,-35076.69159876786,274025.26392705855
117,2121.5881135357417,2737.5530340779997,1752.1600003739995,2737.5530340779997,1031.6072708029997,1935.483870967742,665.0806101977474,-35076.69159876786,274025.26392705855
118,988.4993292237417,2518.6563391570003,969.3200022219995,2518.6563391570003,888.4017914009995,1935.4838709677417,713.1226179283084,-35076.69159876786,274025.26392705855
119,0.0,2538.4081260590006,1701.289999096,2538.4081260590006,2013.5642484312584,1935.4838709677415,990.4601606322294,-35076.69159876786,274025.26392705855
120,1588.1828277367417,2629.3070732349997,2643.249998854,2629.3070732349997,2518.4660183649994,1935.483870967742,831.8770985464008,-35076.69159876786,274025.26392705855
